Altium Designer Pick and Place Locations
C:\Users\Usuario\Documents\Desarrollo\Ampliflier PH\Hardware\Project Outputs for Amplificador PH\Pick And Place\Pick Place\Pick Place for PCB1(Production).csv

========================================================================================================================
File Design Information:

Date:       05/11/24
Time:       11:45
Revision:   Not in VersionControl
Variant:    Production
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C7","C0603C223M3VACTU","TopLayer","FP-CGA3E-0_3-0_1-MFG","1566.929","696.850","90","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
"Fi2","HOLE","TopLayer","FIDUCIAL_TEST_PCB_2C","281.496","198.819","0","hole diamenter 4.2 mm"
"Fi1","HOLE","TopLayer","FIDUCIAL_TEST_PCB_2C","1888.780","1230.315","0","hole diamenter 4.2 mm"
"U2","LM2660M/NOPB","TopLayer","D0008A_M","667.323","152.559","0","Switched Capacitor Voltage Converter, 8-pin Narrow SOIC, Pb-Free"
"C14","C1210C107M9PACTU","TopLayer","FP-C1210C107M9PACTU-MFG","894.685","119.094","90","CAP CER 100UF 6.3V X5R 1210"
"C13","C1210C107M9PACTU","TopLayer","FP-C1210C107M9PACTU-MFG","441.929","118.110","270","CAP CER 100UF 6.3V X5R 1210"
"J4","JUMPER","TopLayer","Jumper_3_Pin","840.551","1510.827","180",""
"U4","ADS1115IDGST","TopLayer","TI-DGS10_M","700.787","1311.024","0","16-Bit ADC with Integrated Multiplexer, PGA, Comparator, Oscillator, and Reference, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)"
"C18","1uF","TopLayer","FP-CC0603-DA-MFG","1481.298","1039.370","270","CAP CER 1UF 16V X7R 0603"
"C17","1uF","TopLayer","FP-CC0603-DA-MFG","1386.811","929.133","0","CAP CER 1UF 16V X7R 0603"
"U3","AMS1117 - 3.3V","TopLayer","FP-ams1117-IPC_C","1381.496","578.543","90","1A LOW DROPOUT VOLTAGE REGULATOR"
"C16","10Uf","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","1566.930","537.402","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C15","10Uf","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","1326.845","370.078","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C12","12061C104KAZ2A","TopLayer","FP-1206-L_3_2_0_2-W_1_6_0-MFG","559.054","421.260","90","General Purpose Ceramic Capacitor, 1206, 100nF, 10%, X7R, 15%, 100V"
"C11","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","649.606","413.460","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C10","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","890.748","749.017","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C8","C0603C223M3VACTU","TopLayer","FP-CGA3E-0_3-0_1-MFG","493.110","1321.850","90","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
"U1","TL081BCDG4","TopLayer","TI-D8_M","861.262","451.460","0","JFET-Input Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)"
"R15","10K","TopLayer","FP-RC0603-0_55-IPC_C","578.740","1188.976","180","RES 10K OHM 1% 1/10W 0603"
"R14","10K","TopLayer","FP-RC0603-0_55-IPC_C","980.315","1468.504","180","RES 10K OHM 1% 1/10W 0603"
"R13","10K","TopLayer","FP-RC0603-0_55-IPC_C","1149.606","1468.504","0","RES 10K OHM 1% 1/10W 0603"
"R12","10K","TopLayer","FP-RC0603-0_55-IPC_C","797.245","1437.007","180","RES 10K OHM 1% 1/10W 0603"
"R11","10K","TopLayer","FP-RC0603-0_55-IPC_C","1267.716","1342.520","90","RES 10K OHM 1% 1/10W 0603"
"R10","10K","TopLayer","FP-RC0603-0_55-IPC_C","1153.544","1188.976","0","RES 10K OHM 1% 1/10W 0603"
"R9","10K","TopLayer","FP-RC0603-0_55-IPC_C","1035.434","1346.456","90","RES 10K OHM 1% 1/10W 0603"
"R8","10K","TopLayer","FP-RC0603-0_55-IPC_C","921.260","1188.976","0","RES 10K OHM 1% 1/10W 0603"
"R7","CRCW06031K00FKEA","TopLayer","FP-CRCW0603-e3-MFG","1074.803","744.094","0","RES Thick Film, 1kO, 1%, 0.1W, 100ppm/°C, 0603"
"R6","ERA3AEB222V","TopLayer","FP-ERA3A-MFG","716.535","744.094","0","RES SMD 2.2K OHM 0.1% 1/10W 0603"
"R5","ERA-3AEB753V","TopLayer","FP-ERA3A-MFG","889.763","652.560","180","RES SMD 75K OHM 0.1% 1/10W 0603"
"R4","AC0603FR-0730KL","TopLayer","FP-AC0603-IPC_C","712.598","653.544","0","RES 30KO 1.00% 0.1W 0603"
"R3","CRCW06034M70JNEA","TopLayer","FP-CRCW0603-e3-MFG","549.212","649.606","0","RES Thick Film, 4.7MO, 5%, 0.1W, 200ppm/°C, 0603"
"R2","AC0603FR-0730KL","TopLayer","FP-AC0603-IPC_C","1066.930","653.544","0","RES 30KO 1.00% 0.1W 0603"
"R1","CRCW06031K00FKEA","TopLayer","FP-CRCW0603-e3-MFG","1629.921","1437.008","180","RES Thick Film, 1kO, 1%, 0.1W, 100ppm/°C, 0603"
"Q2","BSS138","TopLayer","FP-318-08-IPC_B","1153.543","1311.024","90","MOSFET N-CH 50V 220MA SOT-23"
"Q1","BSS138","TopLayer","FP-318-08-IPC_B","921.260","1310.622","90","MOSFET N-CH 50V 220MA SOT-23"
"J3","U.FL-R-SMT-1(10)","TopLayer","0734120110","366.142","1457.677","270","CONN UMC RCPT STR 50 OHM SMD"
"J2","1-1337543-0","TopLayer","TECO-1-1337543-0_V","277.166","590.552","90","Female Connector, Pitch 2.54 mm, 1 x 2 Position, Height 15.8 mm, Tail Length 3.8 mm, 
-55 to 85 degC, RoHS, Bulk"
"J1","B6B-PH-SM4-TB(LF)(SN)","TopLayer","FP-B6B-PH-SM4-TB_LF_SN-MFG","1796.260","787.402","270","CONN HEADER SMD 6POS 2MM"
"IC1","CA3140AMZ96","TopLayer","SOIC127P600X175-8N","847.441","922.638","0","CA3140AMZ96 CA3140 Series 36 V 4.5 MHz BiMOS Operational Amplifier - SOIC-8"
"FB1","MMZ2012Y152BT000","TopLayer","FP-MMZ2012-IPC_A","1384.842","1070.867","90","Signal Line Ferrite Bead 1500O @ 100Mhz 500mA DCR 400mO SMD 0805"
"D1","LTST-C191TBKT","TopLayer","FP-LTST-C191TBKT-MFG","1505.906","1437.008","0","LED BLUE CLEAR CHIP SMD"
"C2","12061C104KAZ2A","TopLayer","FP-1206-L_3_2_0_2-W_1_6_0-MFG","1165.354","421.260","270","General Purpose Ceramic Capacitor, 1206, 100nF, 10%, X7R, 15%, 100V"
"C1","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","1074.802","413.386","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C6","12061C104KAZ2A","TopLayer","FP-1206-L_3_2_0_2-W_1_6_0-MFG","535.432","901.575","90","General Purpose Ceramic Capacitor, 1206, 100nF, 10%, X7R, 15%, 100V"
